,Unnamed: 0,Vac_name,City,From_salary,To_salary,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requiremenst,Terms,Key_skills,Day_from_pars
10,10,IT manager,Москва,92310.0,86463.0,2020-10-20T14:47:17+0300,Нет опыта,Полная занятость,Полный день, Responsibilities:  ,,,,,8
11,11,Project manager,Санкт-Петербург,130000.0,111547.0,2020-10-18T13:53:52+0300,От 3 до 6 лет,Полная занятость,Полный день, Мы — команда разработки Omega Bank. Мы делаем качественный и сложный FinTech продукт на рынке Великобритании и западной Европы. ,,,, Управление проектами; Английский язык; Разработка технических заданий; Бизнес-анализ; Project management; Git; Проектный менеджмент;,10
12,12,IT-рекрутер,Санкт-Петербург,35000.0,109666.0,2020-10-18T17:37:22+0300,Нет опыта,Частичная занятость,Удаленная работа, ,"   Искать кандидатов на IT и digital вакансии, проводить интервью по компетенциям (в среднем в работе будет 4-6 вакансий)   Работа со всеми инструментами и каналами поиска айти и маркетинг digital специалистов   Вести адаптацию кандидатов после выхода   ","   Можешь быстро разобраться в специфике любой IT-вакансии   Без проблем работаешь в режиме многозадачности и не устаешь от общения с людьми   Всегда что-то изучаешь, читаешь и повышаешь свой профессиональный уровень Тогда мы подружимся:)   ","   Сдельная оплата труда   Удаленная работа, гибкий график (не менее 8 часов в день), начало рабочего дня с 9 до 11 по МСК   ", Деловое общение; Работа в команде; Навыки межличностного общения; Прямой поиск; Поиск информации в интернет;,10
13,13,IT Инженер,Санкт-Петербург,70000.0,89200.0,2020-10-19T17:51:08+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"   Поддержка и развитие существующей ИТ инфраструктуры 2 офисов.   Администрирование платформ виртуализации VMware vSphere, Hyper-V.   Администрирование сервисов на платформе MS Windows Server: AD DS, CS, DNS, DHCP, WSUS.   Администрирование MS Azure.   Администрирование серверов приложений на базе linux.   Администрирование и настройка активного сетевого оборудования Cisco.   Администрирование фермы Sharepoint.   Администрирование корпоративной АТС Asterisk.   Реализация концепции информационной безопасности предприятия.   Актуализация имеющийся документации.   Подбор активного (IT) оборудования: сетевого, серверного и пользовательских рабочих станций.   Техническая поддержка пользователей.   Командировки, связанные с настройкой сетевого и серверного оборудования   ","   Высшее техническое образование.   Опыт в настройке и администрировании Windows-систем (Windows Server 2016 и выше): Active Directory, DHCP, DNS, GPO, SCCM, WSUS.   Опыт в настройке и администрировании сетевого оборудования Сisco: ISR, Catalyst, ASA, MobilityExpress.   Опыт в настройке и администрировании MS Azure, Google for business.   Опыт в администрировании Asterisk PBX   Опыт в настройке и администрировании NAS (QNAP, Synology)   Понимание принципов работы систем виртуализации VMware и/или Hyper-V.   Опыт в администрировании Linux-систем (Debian, Centos)   Опыт в настройке систем мониторинга (Nagios/zabbix/cacti).   Понимание принципов построения систем видеонаблюдения и СКУД   Стрессоустойчивость   Технический английский язык   ","   Оформление в соответствии с ТК РФ, «белая» зарплата;   График работы 5/2 с 9:00 до 18:00 (интервал раб.времени меняется по договоренности);   Офис рядом с м.Бухарестская;   Возможность карьерного роста и повышения квалификации;   Дружный молодой коллектив.   ",,9
14,14,IT-рекрутер,Москва,80000.0,142333.0,2020-10-18T19:41:39+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  NOMIA  – облачная система для автоматизации различных бизнесов, связанных с продажами любого вида. ",,"   Успешный опыт в IT - рекрутинге от года (Frontend, Backend, System Analyst, DevOps, QA, Product Manager, Architect).    Обязательно  знание современных рабочих инструментов для сорсинга и сёрчинга Специалистов, навыки X-ray или Boolean search.   Понимание разницы в языках программирования.   Успешный опыт в закрытии вакансии других профессиональных областей: бухгалтер, маркетолог, менеджер по продажам и т.д.   Умение использовать и применять в поиске не только job – сайты, но и активно развивать и внедрять нетворкинг.   Самостоятельность в принятии решений, чуткость и внимательность.   Способность быстро впитывать информацию.   Постоянное профессиональное развитие и интерес в области HR.   Отличные коммуникативные навыки. Способность лаконично и грамотно презентовать Компанию Соискателю с учётом его профессиональной специфики.   ",, Кадровое делопроизводство; Рекрутмент; Подбор персонала; Внутренние коммуникации; Адаптация персонала;,10
15,15,Product manager,Москва,100000.0,124444.0,2020-10-20T10:53:18+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   Определение рынка продукта и клиентов;   Умение прогнозировать развитие событий на рынке;   Увеличение ценности продукта (исследование конкурентов, их продукты и возможности);   Определение проблем и ценностей, которые предлагает продукт;   Постановка задач разработчикам, дизайнерам и др.;   Управление жизненным циклом продукта;   Анализ эффективности внедрения, исправлений и улучшений;   Быть связующим звеном между внутренними и внешними заинтересованными сторонами.   ","   Отличное знание продаваемого продукта.   Высшее образование (IT).   Развитые навыки проведения деловых переговоров, нацеленность на результат, деловая активность.   Выстраивание /развитие долгосрочных отношений с ключевыми потенциальными клиентами.   Успешный опыт выведения на рынок IT - продуктов/проектов.   Понимание работы устройств IT-оборудования.   Уверенный пользователь ПК.   Личные качества: аналитические способности, умение структурировать, устойчивое саморазвитие, восприятие критики, целеустремленность.   Свободное владение английским языком (желательно).   Знание французского языка (желательно).   ","   Возможность самореализации и развития.   Возможность карьерного и финансового роста.   Оформление по ТК РФ.   Корпоративная мобильная связь.   Офис расположен в пешей доступности со ст. м. Парк Победы / Фили / Кутузовская.   Возможны поездки на российские и зарубежные выставки за счет компании.   Холдинг компаний ""Нефросовет"".   Уровень ЗП обсуждается дополнительно при успешном проведении интервью.   ", Английский язык; Ведение переговоров; Проведение презентаций; Активные продажи; Публичные выступления;,8
16,16,Project manager,Москва,102775.0,124084.0,2020-10-20T12:15:58+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа, Немецкая FinTech компания в поиске IT Project Manager (удаленная работа). ,"   Ведение внутренних проектов компании от инициации до выхода в промышленную эксплуатацию.   Управление ежедневной проектной деятельностью - контроль задач, сроков, требований, координация и мотивации команды.   Подготовка и поддержка в актуальном состоянии плана работ.   Подготовка и контроль ведения проектной документации (устав проекта, цели, техническая документация).   Декомпозиция бизнес-требований на задачи и назначение исполнителям.   Управление поставками и составом поставок (промежуточных и финальных).   Управление изменениями и сроками (с командой и с заказчиками проекта).   ","   Высшее техническое образование.   Опыт ведения реальных коммерческих проектов ""от начала до конца"" - не менее 3х проектов, не менее 2х лет.   Знание классических методологий ведения проектов и опыт их практического использования.   Умение писать и оценивать предоставленную документацию.   Знания и практические навыки в области управления временем.   Пунктуальность, методичность, обязательность, педантичность.   ","   Конкурентный уровень дохода (обсуждается с успешным кандидатом);   Официальное трудоустройство по договору с ИП;   График работы - 5/2, c 9.00 до 18.00;   Возможна удаленная работа или работа в офисе (м. Китай-город).   ",,8
17,17,IT-рекрутер,Санкт-Петербург,59133.0,109666.0,2020-10-19T19:35:44+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Команда Umbrellio специализируется на создании собственных высоконагруженных IT проектов таких как: BI-решения, платежные шлюзы, CRM-системы, маркетинговые инструменты и многие другие бизнес решения.  ",,,, Организация мероприятий; Работа в команде; Умение работать в команде; Поиск информации в интернет; Способность обучать других;,9
18,18,IT Директор,Москва,186000.0,220000.0,2020-10-19T13:22:38+0300,Более 6 лет,Полная занятость,Полный день, ,"   Запуск собственного процессинга платежей. Развертывание готового решения совместно с вендором.   Обеспечение бесперебойного функционирования платежной платформы.   Совместно с коллегами-разработчиками создание и претворение в жизнь стратегии развития платежной платформы   Автоматизация процессов управления инфраструктурой и инструментами разработки (CI/CD, нагрузочного тестирования), сокращение time to market выкатываемых фич повышение уровня безопасности платежной платформы.   Сертификация PCI DSS   Интеграция платежных шлюзов эквайеров   Подбор команды разработчиков   ", В дополнение к опыту работы с нашим инфраструктурным стеком будет плюсом:  Знание kubernetes Опыт работы с технологиями нашего стека Умение работать с сетевым оборудованием Cisco Знание Python - мы периодически патчим SaltStack Опыт реализации Infrastructure as Code и Immutable infrastructure ,   Заработная плата по результатам собеседования   Высокий уровень ответственности и возможность самостоятельно принимать решения   Кандидатам из регионов поможем с переездом в Москву   Собеседование проводится после выполнения тестового задания   , Linux; Java; Erlang; docker;,9
19,19,IT-рекрутер,Москва,80000.0,142333.0,2020-10-21T11:30:48+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   Работа в стабильной IT-компании со штатом 55 человек.   Полный цикл подбора IT - персонала: разработчиков C/С++, сетевых инженеров, Golang разработчиков, Full stack, DevOps   Сопровождение кандидатов до выхода на работу.   Адаптация новых сотрудников в период испытательного срока.   Ведение базы кандидатов.   Проведение review с сотрудниками в соответствии с планом.   Консультации руководителей по вопросам подбора и адаптации персонала.   ","   Опыт успешного рекрутинга IT-специалистов: разработчиков, программистов С/С++, DevOps, сетевых инженеров.   Отлично развитые коммуникативные навыки, высокая личная ответственность и самоорганизованность.   Опыт работы с источниками поисками: HH.ru, SuperJob, LinkedIn, amazinghiring, работа с профилями на GitHub и StackOverflow. Работа с Telegram.   Использование техник boolean search, x-ray search – как преимущество.   ","   График работы 5-дневка, полный рабочий день. Можно выбрать удобное время начала рабочего дня (с 9.00 до 11.00) .   Возможность несколько дней в неделю работать удаленно.   Заработная плата обсуждается с успешным кандидатом.   Полное соблюдение трудового законодательства.   Офис расположен в районе м. Славянский бульвар, 7 мин пешком.   После прохождения испытательного срока подключаем к ДМС (со стоматологией)   Подчинение директору по персоналу   ", Headhunting; IT Recruitment; Recruitment; Рекрутмент; Управление персоналом; Подбор персонала; Мотивация персонала; Оценка персонала;,7
20,20,Стажёр в отдел ИТ/IT trainee,Москва,,,2020-10-20T15:42:51+0300,Нет опыта,Стажировка,Гибкий график," Компания Linxdatacenter, известная как международный эксперт в сфере высокотехнологичных решений хранения и обработки данных, облачных сервисов и телекоммуникаций, приглашает студентов попробовать свои силы и принять участие в специальной программе бизнес - практик Linxdatacenter. ","   Требования:    - Опыт установки и поддержки ОС (Windows 10, Windows Server 2008 - 2019); - Опыт эксплуатации офисного ПО (Антивирусы, MS Office); - Знание основ сетей (стек протоколов TCP/IP, маршрутизация, DNS); - Базовые знания английского языка; - Наличие технического образования приветствуется; - Ответственность, исполнительность, коммуникабельность, обучаемость, трудолюбие, умение работать в команде; - Плюсы: опыт работы с unix-like OS, виртуализацией, bash, PowerShell, python. ","   Условия:   - Работы в международной компании; - Оборудованное рабочее место, кухня, столовая; - Безлимитный кофе, чай, сладости и фрукты; - График работы - пн-пт, от 20 часов в неделю; - Стабильная выплата заработной платы; - Возможности для развития и роста. ",   ,,8
21,21,IT Директор,Москва,186000.0,220000.0,2020-10-20T02:05:03+0300,От 3 до 6 лет,Полная занятость,Полный день,"  Otto Group  is an international group of e-commerce and service providers, a company with a 70-year history and more than 50 thousand employees. With 30 major companies, the  Otto Group  is represented in more than 30 countries in Europe, the Americas and Asia and is one of the largest online retailers in the world. ",,,, Strategic Planning; Project management; Product Management; E-Commerce; Marketing Analysis;,8
22,22,IT Специалист,Москва,60000.0,74724.0,2020-10-21T13:53:45+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   Техподдержка сотрудников офиса в том числе удалённая с возможностью командировок.   Закупка и установка оборудования в центральный офис и регионы.   Формирование спецификации оборудования.   Знание стека протоколов TCP/IP (ARP, IP, TCP/UDP/ICMP, DNS, HTTP, SMTP/POP/IMAP, SIP/RTP и др.)   Знание платформ Windows в том числе Windows server, MS SQL, MS Exchange.   Опыт решения проблем в MS Office.   Поддержка сайтов, обновление, исправление критических ошибок, дополнение информации на сайтах (приветствуется знания в работе с сайтами на базе Word Press, Bitrix, php, javascript).   Администрирование 1с, составление задач для 1с разработчиков, решение вопросов с внешними контрагентами, облачное хранилище 1с решение вопросов с пользователями в базах.   Знание КриптоПро.   Обеспечение информационной безопасности организации.   Принимать непосредственное участие в решении вопросов модернизации работы офиса, оптимизации рабочих процессов.   Оплата доменов и хостингов сайтов компаний.   Настройка и ведение корпоративной почты.   ","   Высшее образование.   Опыт работы в аналогичной должности с количеством рабочих мест не менее 30.   Понимание принципов работы IP сетей, интернета, активного сетевого оборудования, оргтехники.   Знания в области цифровой электроники, принципов работы лазерных принтеров, опыт мелкого ремонта - желательно.   Умение оперативно обрабатывать входящие звонки.   Умение оперативно проводить диагностику.   Умение оперативно находить решения в экстренных ситуациях.   Техническая грамотность, аналитические способности, исполнительность, ответственность, коммуникабельность, высокая обучаемость.   ","   Трудоустройство в соответствии с ТК РФ.   График работы с пн-пт с 09.00 до 18.00 (выходные сб-вс) (свободное посещение).   Предоставление корпоративной связи.   Испытательный срок 3 мес.   Оклад 60 000 руб.   Работа в дружной команде.   Головной офис: г. Одинцово, ул. Западная, д. 13   ",,7
23,23,IT-рекрутер,Санкт-Петербург,59133.0,65000.0,2020-10-19T11:30:46+0300,Более 6 лет,Полная занятость,Удаленная работа,  RedLab  входит в группу компаний Litota. 15 лет мы создаем и внедряем решения для развития бизнеса ведущих компаний букмекерской и финансовой сфер. ,,,, Адаптация персонала; Подбор персонала; Оценка персонала; Оценка кандидатов; проведение интервью; Рекрутмент; Прямой поиск; Recruitment; Ведение переписки на иностранном языке;,9
24,24,IT-рекрутер,Москва,68165.0,142333.0,2020-10-19T13:24:15+0300,От 1 года до 3 лет,Полная занятость,Полный день," Мы – системный интегратор, занимаемся цифровизацией предприятий в сфере энергетики, машиностроения и нефтегазовых отраслей, а также предиктивной и прескриптивной аналитикой, созданием цифровых продуктов и решений в области Индустрии 4.0. ",,,, Бизнес-консультирование; Анализ рынка; Бизнес-анализ; Управление разработкой; Работа в команде; IT Recruitment;,9
25,25,IT-рекрутер,Москва,68165.0,142333.0,2020-10-19T14:29:09+0300,От 1 года до 3 лет,Полная занятость,Гибкий график, Freelance IT Recruiter ,,,, Подбор персонала; Рекрутмент; Оценка кандидатов; Прямой поиск;,9
26,26,Project manager,Москва,50000.0,50000.0,2020-10-19T17:41:10+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,   ,   ,   быстро развивающаяся компания с молодой командой   график работы: 5/2(пн.-пт.) с 10:00 до 19:00   з/п 50 000 руб. с возможностью роста   современный и комфортный офис   корпоративные мероприятия   , Настройка сетевых подключений; Windows 7; Настройка ПК; Настройка ПО; Windows Xp;,9
27,27,IT-рекрутер,Москва,68165.0,142333.0,2020-10-19T16:01:58+0300,От 3 до 6 лет,Полная занятость,Гибкий график,"   Мы открываем вакансию IT рекрутера нашей технологической компании GRAVION TECHNOLOGY.   Наша цель – разработать инновационный сервис, предназначенное для автоматизации операционной деятельности участников инвестиционно-строительных проектов (Застройщики, Генеральные подрядчики, Финансовые институты) на основании информационной модели объекта строительства (BIM). Предполагается многолетнее развитие продукта с интеграцией технологий машинного обучения, смарт-контрактов (blockchain) и др. ",,"   Умение работать в высоком темпе, в режиме многозадачности;   Владение различными методами поиска и оценки кандидатов;   Активная жизненная позиция, позитивность, стабильность;   Организаторские способности, внимательность к деталям, самостоятельность;   Умение работать в команде;   ",,,9
28,28,IT Специалист,Москва,70000.0,120000.0,2020-10-18T12:06:17+0300,От 3 до 6 лет,Полная занятость,Полный день,   ,"   Онлайн и офлайн поддержка открытых клубов по софту и железу;   Участие в создании общей инфраструктуры сети;   Автоматизация бизнес-процессов в компании;   Автоматизация IT-процессов, связанных с открытием новых кибер-арен;   Консультации руководства по техническим вопросам;   Участие в разработке собственного программного обеспечения   Краткосрочные выезды на технические открытия новых клубов по РФ;   Написание инструкций и мануалов   Работа на 1-ой линии технической поддержки   ","  Мы прекрасно понимаем, что готового специалиста найти в нашу сферу очень сложно (почти не возможно) и ниже перечислили желаемые навыки и знания для работы в нашей команде  ",   5/2 удаленная работа + 1-2 дня в неделю работа в офисе в СИТИ   кратковременные командировки 1-2 раз в месяц по РФ   исп. срок до 2 месяцев   ,,10
29,29,Project manager,Москва,102775.0,124084.0,2020-10-19T15:14:34+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"    Обеспечение непрерывности функционирования информационной системы предприятия, локализация и устранение сбоев;     Администрирование серверо  в предприятия;     Техническая поддержка пользователей (офис  ы Управляющей компании, аптеки 2-я линия); обслуживание ПК, управления вспомогательными системами, систем сбора данных;     Консультации пользователей по вопросам работы компьютерной техники и ПО;     Ремонт и обслуживание оборудования локальной вычислительной сети, систем безопасности, видеонаблюдения и контроля доступа;     Работа с технической документацией.    ","    Образование: Высшее техническое / Среднее специальное;     Опыт работы по специальности от 3х лет;     Уверенные знания типового оборудования ЛВС – железо, администрирование, безопасность (HP, D-Link, Huawei,   Mikrotik  ); администрирование серверов и рабочих станций Windows Srv 2016/12/08,  MS Exchange  ,желательно значение   MS Sharepoint  ; администрирование AD/LDAP/GPO; виртуализация Vmware, Hyper-V; СУБД MS-SQL; телефония VoIP, аналоговая; опыт администрирования и обслуживания, техническая поддержка рабочих станций пользователей (Windows  7,8,10,), продвинутый пользователь   MS OFFICE;     Закупка оборудования;     Работа с первичными договорными документами.    ","    Официальное оформление с предоставлением всех гарантий и компенсаций, предусмотренных ТК РФ;     График работы 5/2 (9-00 до 18-00);     Стабильная выплата заработной платы 2 раза в месяц (полностью официальная на карту);     Оплачиваемый отпуск 28 дней;     Комфортный офис класса ""В+"", м. Кожуховская - 4 минуты пешком от метро;     Дружный коллектив.    ",,9
